"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","71","76","6","38.053116","0","84"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","87","34","2","45.851364","0","402"
"/OpenXR/Devices/M_XRController.M_XRController","0","36","28","3","145.627121","0","56"
"Globals","0","2666","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","15","1","1","7.914063","0","53"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","7","8","1","3.735229","0","11"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","24","3","1","98.731140","0","232"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","10","5","1","5.586846","0","29"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","10","10","1","5.758101","0","14"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","1.122856","0","2"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","0","12","4","1","51.602139","0","42"
"/OculusVR/Materials/touchController_mat.touchController_mat","0","36","4","1","147.268280","0","171"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","2","2","1","1.149975","0","2"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","8","1","1","5.050436","0","20"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","68","10","1","157.669891","0","572"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","94","11","1","242.790009","0","1193"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","4","1","5.916824","0","6"
"/ControlRig/M_Manip.M_Manip","0","15","16","1","6.434194","0","27"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","645","10","1","266.365967","0","26332"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","102","8","1","293.543518","0","1199"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","159","3","1","679.986572","0","2580"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","2","2","1","1.050517","0","3"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","8","8","1","3.696015","0","14"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","8","8","1","3.979940","0","12"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","24","4","1","98.164452","0","121"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","8","8","1","4.218957","0","8"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","1.243248","0","2"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","12","1","1","48.529366","0","37"
"/Engine/VREditor/TransformGizmo/Main.Main","0","8","8","1","3.854613","0","9"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","50","23","1","95.673515","0","298"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","52","40","1","144.912033","0","146"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","8","8","1","2.917617","0","8"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","19","19","1","5.500400","0","19"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","150","150","1","197.889511","0","150"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","966","993","1","1818.002930","0","993"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","34","12","1","69.041115","0","173"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","1.150583","0","2"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","4","4","1","2.445045","0","7"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","4","4","1","1.941210","0","4"
"/Game/Materials_Randomise/Materials/M_Random.M_Random","0","21","2","1","91.509293","0","98"
"/Engine/BufferVisualization/Metallic.Metallic","0","4","4","1","3.697914","0","6"
"/Game/Materials_Randomise/Materials/MM_Armchair.MM_Armchair","0","21","3","1","87.824287","0","95"
"/Game/Materials_Randomise/Materials/jaco-user/M_Segmented.M_Segmented","0","4","4","1","2.987532","0","4"
"/Engine/EditorMaterials/Cascade/CASC_RenderNone_MAT.CASC_RenderNone_MAT","0","28","5","1","45.890041","0","96"
"/Game/WHS_HCI_Study/Material/M_UI_Beam.M_UI_Beam","0","60","5","1","89.424515","0","324"
"/Game/WHS_HCI_Study/Material/M_Mode_Gizmo.M_Mode_Gizmo","0","60","10","1","96.761375","0","323"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_BaseColor_Constant.M_BaseColor_Constant","0","12","5","1","58.440037","0","43"
"/Game/Blueprints/BP_JacoArm/JacoResources/Materials/M_Kinova_Gray.M_Kinova_Gray","0","36","5","1","78.668579","0","180"
"/Game/Blueprints/BP_JacoArm/JacoResources/Materials/M_Kinova_Black.M_Kinova_Black","0","36","6","1","147.670441","0","215"
"/Game/Blueprints/BP_JacoArm/JacoResources/Materials/M_Bracelet.M_Bracelet","0","12","1","1","26.325752","0","41"
"/Engine/EngineDebugMaterials/VertexColorViewMode_RedOnly.VertexColorViewMode_RedOnly","0","12","12","1","6.127184","0","21"
"/Game/WHS_HCI_Study/Material/M_Spheres.M_Spheres","0","56","9","1","87.992065","0","248"
"/Game/WHS_HCI_Study/Material/M_Beam.M_Beam","0","60","8","1","91.960777","0","356"
"/Engine/VREditor/Devices/Vive/VivePreControllerMaterial.VivePreControllerMaterial","0","12","1","1","49.745407","0","40"
"/Game/WHS_HCI_Study/Material/M_Mode_Indicator_Gizmo.M_Mode_Indicator_Gizmo","0","20","9","1","9.240801","0","50"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","19","19","1","7.795761","0","29"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","7","8","1","6.816044","0","8"
"/Game/RealObjects/Blocksworld/Materials/M_Wooden.M_Wooden","0","12","3","1","49.202705","0","42"
"/Game/Levels/Scans/MeetingRaum/M_3D-Modell_Besprechungsraum.M_3D-Modell_Besprechungsraum","0","21","7","1","88.851860","0","97"
"/Game/WHS_HCI_Study/Material/M_Beam_Color.M_Beam_Color","0","60","10","1","93.027657","0","260"
